;;;Execution time;Execution time;Number of checks;Number of rollups
Flash;Fars;[d, l];4.6624539333333336E7;194593.0921701316;53.0;32.0
Flash;Fars;[d, t];3.0788206666666668E7;294696.80059738236;25.0;17.0
Flash;Fars;[k, d, l];4.7870227666666664E7;2477574.013152853;53.0;32.0
Flash;Fars;[k, d, t];3.1160461333333332E7;367755.24453273724;25.0;17.0
Flash;Atus;[k];9.188680406666666E8;2.617635843498061E7;237.0;94.0
Flash;Atus;[l];2.2302997166666666E8;5237783.951578886;39.0;23.0
Flash;Atus;[t];3.14917881E8;6695790.027867436;79.0;47.0
Flash;Atus;[d];5.347751386666667E8;6177085.722305975;190.0;88.0
Flash;Atus;[k, l];2.3234916433333334E8;1.9647594667055365E7;39.0;24.0
Flash;Atus;[k, t];3.33110302E8;2.370611788328878E7;79.0;47.0
Flash;Atus;[k, d];4.959857376666667E8;5391956.166567504;162.0;72.0
Flash;Atus;[d, l];2.40514168E8;2.4047117241771225E7;44.0;23.0
Flash;Atus;[d, t];2.0316589566666666E8;5741420.950658324;32.0;23.0
Flash;Atus;[k, d, l];2.0817425933333334E8;7383355.580517326;44.0;23.0
Flash;Atus;[k, d, t];2.0331447333333334E8;1.1835960454072425E7;32.0;23.0
Flash;Ihis;[k];2.5244801093333335E9;4.633077432718311E7;219.0;81.0
Flash;Ihis;[l];2.5136351696666665E9;2.6107598353796203E7;163.0;61.0
Flash;Ihis;[t];1.7181442393333333E9;2.827078903861288E7;111.0;44.0
Flash;Ihis;[d];2.135106228E9;2.3054636663651828E7;158.0;55.0
Flash;Ihis;[k, l];2.2662181956666665E9;1.0170664504644785E7;145.0;60.0
Flash;Ihis;[k, t];1.6854510463333333E9;4.561075942321248E7;111.0;44.0
Flash;Ihis;[k, d];2.091529232E9;1.5383678280124588E7;153.0;52.0
Flash;Ihis;[d, l];9.89163985E8;6667182.0180874765;72.0;35.0
Flash;Ihis;[d, t];4.391511763333333E8;1.4976850454111114E7;32.0;19.0
Flash;Ihis;[k, d, l];9.927412446666666E8;1.3438714032234235E7;72.0;35.0
Flash;Ihis;[k, d, t];4.417453296666667E8;7413650.4396518;32.0;19.0
OLA;Adult;[k];6.775172333333333E7;1783903.7806788608;90.0;21.0
OLA;Adult;[l];7.760589866666667E7;1432562.1289515975;91.0;17.0
OLA;Adult;[t];1.4560363333333334E7;219204.53654368865;16.0;4.0
OLA;Adult;[d];3.5796484666666664E7;758203.9331962961;63.0;16.0
OLA;Adult;[k, l];6.6274840666666664E7;570227.6233525813;84.0;19.0
OLA;Adult;[k, t];1.4584725333333334E7;259756.0291125758;16.0;4.0
OLA;Adult;[k, d];3.0937803666666668E7;539816.2094568236;38.0;10.0
OLA;Adult;[d, l];3.3139328E7;598370.31672034;40.0;12.0
OLA;Adult;[d, t];1.0997175E7;205045.23464835752;14.0;4.0
OLA;Adult;[k, d, l];3.2503025333333332E7;492205.6127314411;38.0;10.0
OLA;Adult;[k, d, t];1.1444641333333334E7;88295.04609168814;14.0;4.0
OLA;Cup;[k];5.3158157E7;7986768.142527302;22.0;5.0
OLA;Cup;[l];9.346001633333333E7;1.0110037786630193E7;25.0;5.0
OLA;Cup;[t];5.2975436666666664E7;4409202.324568962;15.0;5.0
OLA;Cup;[d];2.9836638E7;1432537.4009780688;13.0;5.0
OLA;Cup;[k, l];7.5437216E7;9682152.683716416;22.0;5.0
OLA;Cup;[k, t];5.0443288666666664E7;2607625.0410759468;15.0;5.0
OLA;Cup;[k, d];4.5877105666666664E7;1471250.299060066;21.0;5.0
OLA;Cup;[d, l];5.4525925E7;2384661.1469663777;21.0;5.0
OLA;Cup;[d, t];4.2083714E7;7962196.18704356;13.0;5.0
OLA;Cup;[k, d, l];5.1355836666666664E7;863328.0471004827;21.0;5.0
OLA;Cup;[k, d, t];4.6329292666666664E7;8281968.936842635;16.0;5.0
OLA;Fars;[k];2.0111624266666666E8;1133080.0633522475;75.0;5.0
OLA;Fars;[l];1.35555048E8;1.139134687150466E7;69.0;22.0
OLA;Fars;[t];3.6188674666666664E7;381298.60904327116;16.0;5.0
OLA;Fars;[d];5.8778024333333336E7;1202598.7252954883;34.0;5.0
OLA;Fars;[k, l];1.4244984166666666E8;8738623.58611208;48.0;5.0
OLA;Fars;[k, t];3.6025992333333336E7;53645.8716243229;16.0;5.0
OLA;Fars;[k, d];5.9853472E7;506156.55419148726;51.0;21.0
OLA;Fars;[d, l];5.3541240333333336E7;996634.6378339123;35.0;13.0
OLA;Fars;[d, t];3.494213E7;1.1808046117996365E7;15.0;5.0
OLA;Fars;[k, d, l];4.9509299333333336E7;1173330.6826450645;34.0;13.0
OLA;Fars;[k, d, t];3.0096123666666668E7;156839.34952789536;15.0;5.0
OLA;Atus;[k];3.9550628713333335E9;3.540508471455754E7;228.0;29.0
OLA;Atus;[l];3.933408406666667E8;1.815137445189979E7;31.0;14.0
OLA;Atus;[t];7.29276629E8;1.5720893885566082E7;47.0;11.0
OLA;Atus;[d];2.4572043496666665E9;9012636.582887625;155.0;28.0
OLA;Atus;[k, l];3.787194153333333E8;2.431821539010347E7;29.0;12.0
OLA;Atus;[k, t];7.124262043333334E8;3.0676634609982975E7;47.0;11.0
OLA;Atus;[k, d];2.1510963116666665E9;5.1081232617498785E7;138.0;23.0
OLA;Atus;[d, l];3.75921988E8;1.7189362273845676E7;31.0;14.0
OLA;Atus;[d, t];1.8600308966666666E8;3457325.419216469;16.0;5.0
OLA;Atus;[k, d, l];3.372531786666667E8;6903448.883409243;31.0;14.0
OLA;Atus;[k, d, t];1.96706996E8;1.6905645507138852E7;16.0;5.0
OLA;Ihis;[k];9.523460500333334E9;8.50758031911198E7;254.0;15.0
OLA;Ihis;[l];9.777282041666666E9;5.154099076977556E7;227.0;13.0
OLA;Ihis;[t];7.072296488E9;4.120181174878832E7;159.0;12.0
OLA;Ihis;[d];8.891624444E9;3.1745621021365307E7;249.0;15.0
OLA;Ihis;[k, l];9.395686515E9;1.0082935295047647E8;229.0;13.0
OLA;Ihis;[k, t];7.085004868666667E9;6.250053823241752E7;159.0;12.0
OLA;Ihis;[k, d];8.783815259E9;1.1584249520353185E7;243.0;16.0
OLA;Ihis;[d, l];6.95991763E9;9.150439985234924E7;177.0;12.0
OLA;Ihis;[d, t];3.537662853E9;1.024768934138792E8;81.0;5.0
OLA;Ihis;[k, d, l];7.045904266333333E9;1.8986629852200055E8;177.0;12.0
OLA;Ihis;[k, d, t];3.6333832333333335E9;6.358566417248713E7;81.0;5.0
Incognito;Adult;[k];1.1767718E9;6152881.523236816;1302.0;43.0
Incognito;Adult;[l];1.4600297486666667E9;2.165669812335771E7;1263.0;34.0
Incognito;Adult;[t];4.200746403333333E8;3251694.2042025314;366.0;15.0
Incognito;Adult;[d];9.408555786666666E8;1.967127701408717E7;943.0;30.0
Incognito;Adult;[k, l];1.4604813933333333E9;7931991.122597487;1274.0;36.0
Incognito;Adult;[k, t];4.345510353333333E8;4214705.390616328;366.0;15.0
Incognito;Adult;[k, d];6.76694815E8;6506026.993974433;665.0;19.0
Incognito;Adult;[d, l];8.019771133333334E8;1.576163785112075E7;770.0;20.0
Incognito;Adult;[d, t];3.544557783333333E8;7128545.514324947;334.0;15.0
Incognito;Adult;[k, d, l];7.571754466666666E8;7563749.035133988;729.0;19.0
Incognito;Adult;[k, d, t];3.53877494E8;7962948.438312596;334.0;15.0
Incognito;Cup;[k];5.516007596666666E8;3.621566108062561E7;228.0;20.0
Incognito;Cup;[l];8.98020052E8;2.331789779081011E7;244.0;19.0
Incognito;Cup;[t];6.177804746666666E8;1.2232145224098688E7;179.0;20.0
Incognito;Cup;[d];3.768031263333333E8;3.436775363566793E7;146.0;19.0
Incognito;Cup;[k, l];7.70974078E8;2.959180922029238E7;228.0;20.0
Incognito;Cup;[k, t];5.838117986666666E8;1.7826944710225765E7;179.0;20.0
Incognito;Cup;[k, d];4.696403276666667E8;1.6729982922886392E7;210.0;17.0
Incognito;Cup;[d, l];4.888602386666667E8;2.1034497100267082E7;177.0;17.0
Incognito;Cup;[d, t];4.321201876666667E8;2.7320376351126026E7;146.0;19.0
Incognito;Cup;[k, d, l];5.75211236E8;3.9088344798426196E7;210.0;17.0
Incognito;Cup;[k, d, t];4.353397066666667E8;2.0391338544503946E7;145.0;18.0
Incognito;Fars;[k];1.479677233E9;8248721.300443845;512.0;33.0
Incognito;Fars;[l];1.9245260303333333E9;8500104.010493185;498.0;37.0
Incognito;Fars;[t];5.176500726666667E8;9458097.929106906;141.0;14.0
Incognito;Fars;[d];1.1896478E9;2696984.9492318267;380.0;27.0
Incognito;Fars;[k, l];1.8404936963333333E9;3.0481596260249894E7;469.0;36.0
Incognito;Fars;[k, t];5.37602515E8;1.871045855919953E7;141.0;14.0
Incognito;Fars;[k, d];1.3373863083333333E9;6922409.18889669;424.0;27.0
Incognito;Fars;[d, l];1.316745969E9;3.742409235474512E7;385.0;23.0
Incognito;Fars;[d, t];4.782781996666667E8;1.687337555394321E7;142.0;15.0
Incognito;Fars;[k, d, l];1.2621734206666667E9;2.429226347966723E7;370.0;24.0
Incognito;Fars;[k, d, t];4.824540936666667E8;1.0628911472391203E7;142.0;15.0
Incognito;Atus;[k];3.7132705372666664E10;2.0860392997577417E8;2181.0;39.0
Incognito;Atus;[l];8.002216816333333E9;2.3594281108083716E8;365.0;14.0
Incognito;Atus;[t];2.0469852809666668E10;8.827697046277541E7;996.0;33.0
Incognito;Atus;[d];3.6608212941E10;3.166254877411191E8;1966.0;47.0
Incognito;Atus;[k, l];7.291550240333333E9;6.462406411966559E7;332.0;13.0
Incognito;Atus;[k, t];2.1454599438E10;8.862630281554544E8;996.0;33.0
Incognito;Atus;[k, d];3.1458130542666668E10;8.416438001298668E8;1687.0;44.0
Incognito;Atus;[d, l];8.805682015666666E9;5.284297148125901E8;430.0;15.0
Incognito;Atus;[d, t];5.564162265E9;2.751039555064267E8;270.0;15.0
Incognito;Atus;[k, d, l];8.711782976333334E9;2.4144087483765975E8;430.0;15.0
Incognito;Atus;[k, d, t];5.596486625666667E9;2.0883292622262886E8;270.0;15.0
Incognito;Ihis;[k];5.2758295808333336E10;1.676987678239167E8;1342.0;32.0
Incognito;Ihis;[l];5.1481405687333336E10;2.017786644468523E8;1075.0;26.0
Incognito;Ihis;[t];4.3058189925333336E10;1.7132448448957595E8;909.0;19.0
Incognito;Ihis;[d];5.0114559202666664E10;2.5948530258132E8;1144.0;22.0
Incognito;Ihis;[k, l];5.0749709725E10;6.302082135032928E8;1032.0;25.0
Incognito;Ihis;[k, t];4.3873956543E10;2.2234420670012918E8;909.0;19.0
Incognito;Ihis;[k, d];4.5398332093333336E10;2.2155961263717115E8;1029.0;19.0
Incognito;Ihis;[d, l];2.4615620281E10;1.6950525283683714E8;558.0;16.0
Incognito;Ihis;[d, t];1.4695254467666666E10;1.2576662380098297E8;330.0;11.0
Incognito;Ihis;[k, d, l];2.5041806734666668E10;2.1641324836412108E8;558.0;16.0
Incognito;Ihis;[k, d, t];1.4785002124333334E10;7.056146296440603E7;330.0;11.0
DFS;Adult;[k];4.8867501E7;663397.8975162643;172.0;118.0
DFS;Adult;[l];1.03744934E8;3140896.384305442;171.0;117.0
DFS;Adult;[t];4.3522207333333336E7;2951238.8339669043;60.0;51.0
DFS;Adult;[d];3.5446816333333336E7;1497389.6080714376;128.0;94.0
DFS;Adult;[k, l];9.910649066666667E7;4780940.861584709;162.0;113.0
DFS;Adult;[k, t];4.8049778333333336E7;1726049.762501746;60.0;51.0
DFS;Adult;[k, d];2.8200420333333332E7;2085035.5032702282;97.0;72.0
DFS;Adult;[d, l];5.6269005E7;4998586.395561349;97.0;72.0
DFS;Adult;[d, t];4.3931982E7;6503812.951347002;60.0;52.0
DFS;Adult;[k, d, l];4.9746091333333336E7;4719581.605180096;96.0;72.0
DFS;Adult;[k, d, t];3.6866857666666664E7;4683520.259960913;60.0;52.0
DFS;Cup;[k];2.58056451E8;2.9099551998706423E7;85.0;72.0
DFS;Cup;[l];5.13478996E8;1.3794559803282851E7;86.0;73.0
DFS;Cup;[t];4.65140793E8;3.1760790358428754E7;79.0;70.0
DFS;Cup;[d];2.76775875E8;1.862092077333785E7;75.0;67.0
DFS;Cup;[k, l];4.99252587E8;2.2712228402979486E7;85.0;72.0
DFS;Cup;[k, t];4.91571359E8;2.5083230851225823E7;79.0;70.0
DFS;Cup;[k, d];2.59536589E8;1.9405838019801542E7;81.0;73.0
DFS;Cup;[d, l];3.737349543333333E8;2.0670282150258385E7;82.0;74.0
DFS;Cup;[d, t];4.144149456666667E8;2.8462963291476037E7;75.0;67.0
DFS;Cup;[k, d, l];3.79063493E8;8311528.895002892;81.0;73.0
DFS;Cup;[k, d, t];4.139780483333333E8;4.2666534833887056E7;79.0;71.0
DFS;Fars;[k];1.2346583533333333E8;2714680.1972240363;145.0;111.0
DFS;Fars;[l];2.58017572E8;1.717549770460597E7;141.0;109.0
DFS;Fars;[t];2.1629929433333334E8;2.7363766264135085E7;69.0;62.0
DFS;Fars;[d];1.0071607933333333E8;7334430.402538518;110.0;89.0
DFS;Fars;[k, l];2.758572396666667E8;1.155337083718368E7;127.0;102.0
DFS;Fars;[k, t];2.0961078466666666E8;1.1519237978332002E7;69.0;62.0
DFS;Fars;[k, d];8.569036566666667E7;8721147.056758149;110.0;85.0
DFS;Fars;[d, l];2.0783008833333334E8;3.151190892456892E7;96.0;76.0
DFS;Fars;[d, t];1.72718337E8;1217614.4043066343;70.0;63.0
DFS;Fars;[k, d, l];1.93004533E8;5087166.854914335;96.0;76.0
DFS;Fars;[k, d, t];1.7811887633333334E8;1.0040136682340551E7;70.0;63.0
DFS;Atus;[k];3.00626194E8;4325083.068920989;323.0;187.0
DFS;Atus;[l];4.236738486666667E8;2.8735793692918945E7;79.0;66.0
DFS;Atus;[t];4.4024261E8;4.663436354449492E7;126.0;95.0
DFS;Atus;[d];3.01950071E8;6349915.62802932;270.0;168.0
DFS;Atus;[k, l];4.47734406E8;4.1664110652478725E7;77.0;66.0
DFS;Atus;[k, t];4.27298139E8;5.685041752292171E7;126.0;95.0
DFS;Atus;[k, d];3.05723682E8;4.075433098196658E7;265.0;173.0
DFS;Atus;[d, l];3.70819721E8;1.2236590629227612E7;84.0;69.0
DFS;Atus;[d, t];3.839045363333333E8;1.5512621179062722E7;81.0;73.0
DFS;Atus;[k, d, l];3.686654783333333E8;4.369054439042055E7;84.0;69.0
DFS;Atus;[k, d, t];4.047724746666667E8;2.829708143985606E7;81.0;73.0
DFS;Ihis;[k];1.2903918023333333E9;1.1057160244460661E7;290.0;154.0
DFS;Ihis;[l];2.856956167E9;2.0405758139990266E7;248.0;142.0
DFS;Ihis;[t];2.5618375926666665E9;2.3569550986168604E7;168.0;104.0
DFS;Ihis;[d];1.396694808E9;1.0909061550036786E7;212.0;124.0
DFS;Ihis;[k, l];2.8543578683333335E9;1.2827201720999219E7;243.0;141.0
DFS;Ihis;[k, t];2.5722157983333335E9;1.0143629945483733E7;168.0;104.0
DFS;Ihis;[k, d];1.34170523E9;2.257480444511821E7;198.0;108.0
DFS;Ihis;[d, l];2.2507139243333335E9;3.433963493425966E7;103.0;77.0
DFS;Ihis;[d, t];1.7973145883333333E9;2.112940913848398E7;59.0;50.0
DFS;Ihis;[k, d, l];2.2352237896666665E9;7365868.890127242;103.0;77.0
DFS;Ihis;[k, d, t];1.807210135E9;2.8118762092772525E7;59.0;50.0
BFS;Adult;[k];2.578553636E9;1.778024618455595E8;4278.0;1.0
BFS;Adult;[l];6.625746204333333E9;2.32253584019021E7;4281.0;1.0
BFS;Adult;[t];6.54521607E9;1.1060137465072629E8;4317.0;1.0
BFS;Adult;[d];2.72244525E9;1.8090751683664492E8;4301.0;1.0
BFS;Adult;[k, l];6.744202230333333E9;2.6532668459722036E8;4288.0;1.0
BFS;Adult;[k, t];6.741923892333333E9;1.1061589858737673E8;4317.0;1.0
BFS;Adult;[k, d];2.5978584583333335E9;1.3885864200095804E7;4304.0;1.0
BFS;Adult;[d, l];5.261072210333333E9;1.1241282473327683E8;4306.0;1.0
BFS;Adult;[d, t];5.415431339E9;2582216.599868996;4319.0;1.0
BFS;Adult;[k, d, l];5.467435598333333E9;1.7057172551045784E8;4306.0;1.0
BFS;Adult;[k, d, t];5.570154618666667E9;8.624727096400817E7;4319.0;1.0
BFS;Cup;[k];4.1466173177E10;1.1602581300727262E9;8994.0;1.0
BFS;Cup;[l];8.515437101766667E10;2.654023503130575E9;8992.0;1.0
BFS;Cup;[t];8.662868579666667E10;6.401059975942504E8;8998.0;1.0
BFS;Cup;[d];3.8087120286E10;1.9533870831941614E9;8998.0;1.0
BFS;Cup;[k, l];8.526038601033333E10;9.725652664617553E8;8994.0;1.0
BFS;Cup;[k, t];8.5246326326E10;2.73215073083354E9;8998.0;1.0
BFS;Cup;[k, d];3.4954736971333336E10;6.544848754225963E8;8994.0;1.0
BFS;Cup;[d, l];7.1073163897E10;1.121010857709474E9;8992.0;1.0
BFS;Cup;[d, t];7.135622529766667E10;9.295557264858649E8;8998.0;1.0
BFS;Cup;[k, d, l];6.8938208918E10;2.3223741672768292E9;8994.0;1.0
BFS;Cup;[k, d, t];7.2398934478E10;5.265549865324948E9;8995.0;1.0
BFS;Fars;[k];5.824670105333333E9;3.2389379646280233E7;5144.0;1.0
BFS;Fars;[l];1.7351936857E10;2.0287429064787316E8;5148.0;1.0
BFS;Fars;[t];1.7618298926333332E10;3.7113405252424735E8;5180.0;1.0
BFS;Fars;[d];6.917046656E9;3.9786571809248734E8;5173.0;1.0
BFS;Fars;[k, l];1.7495355555333332E10;1.376314141784502E8;5165.0;1.0
BFS;Fars;[k, t];1.7413790390666668E10;1.549865090234362E8;5180.0;1.0
BFS;Fars;[k, d];6.856846343666667E9;4.2217617154968643E8;5150.0;2.0
BFS;Fars;[d, l];1.2973089927333334E10;4.624289177364626E7;5174.0;1.0
BFS;Fars;[d, t];1.2809002390666666E10;1.8987971162989762E8;5181.0;1.0
BFS;Fars;[k, d, l];1.2902352691E10;1.5834686668007788E8;5174.0;1.0
BFS;Fars;[k, d, t];1.3222436933666666E10;3.60989252925778E8;5181.0;1.0
BFS;Atus;[k];6.6795952226E10;2.331499791213514E9;8542.0;1.0
BFS;Atus;[l];1.1903024787233333E11;1.2275509875065553E9;8719.0;1.0
BFS;Atus;[t];1.2023420617133333E11;6.414472846851189E8;8738.0;1.0
BFS;Atus;[d];6.6558458897666664E10;9.016659488563547E8;8638.0;1.0
BFS;Atus;[k, l];1.2024434548233333E11;2.0691263874205053E9;8720.0;1.0
BFS;Atus;[k, t];1.21732689119E11;1.8590868567425556E9;8738.0;1.0
BFS;Atus;[k, d];6.5153237597666664E10;9.391513457064854E7;8647.0;1.0
BFS;Atus;[d, l];1.0897139370266667E11;1.5377197527012975E9;8726.0;1.0
BFS;Atus;[d, t];1.0725234951566667E11;4.1933321061643095E9;8743.0;1.0
BFS;Atus;[k, d, l];1.0497536951166667E11;2.631820880860786E9;8726.0;1.0
BFS;Atus;[k, d, t];1.08599374308E11;1.9777440066388478E9;8743.0;1.0
BFS;Ihis;[k];1.97218859889E11;3.8540801522169976E9;12142.0;2.0
BFS;Ihis;[l];4.94363661654E11;8.371175580808557E9;12378.0;2.0
BFS;Ihis;[t];5.020704179393333E11;6.201091834813928E9;12750.0;1.0
BFS;Ihis;[d];2.40310510568E11;1.0547741212539772E10;12417.0;2.0
BFS;Ihis;[k, l];4.81692476142E11;5.616818232875314E9;12388.0;2.0
BFS;Ihis;[k, t];4.950295001983333E11;1.2307670914320246E10;12750.0;1.0
BFS;Ihis;[k, d];2.4378849191466666E11;1.4587064739761814E10;12421.0;2.0
BFS;Ihis;[d, l];4.186231327796667E11;8.794092416907787E9;12543.0;2.0
BFS;Ihis;[d, t];4.303090448913333E11;9.036003285020641E9;12857.0;1.0
BFS;Ihis;[k, d, l];4.088150189466667E11;5.167323513275457E9;12543.0;2.0
BFS;Ihis;[k, d, t];4.147108382903333E11;2.469992733396326E9;12857.0;1.0
